Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
06-09-2017,6.82,NA
07-09-2017,51.65,97
08-09-2017,43.45,80.57
09-09-2017,70.7,139.33
10-09-2017,46.42,89.83
11-09-2017,53.91,106.56
12-09-2017,56.96,85.79
15-09-2017,88.06,136.34
16-09-2017,39.39,104.57
17-09-2017,85.92,132.66
18-09-2017,92.57,156.85
19-09-2017,46.71,114.18
20-09-2017,67.57,137.11
21-09-2017,84.63,174.61
22-09-2017,0.82,1.49
23-09-2017,6.31,10.76
24-09-2017,32.26,54.81
25-09-2017,61.31,104.11
26-09-2017,42.02,71.22
29-09-2017,89.86,152.3
30-09-2017,103.51,175.44
01-10-2017,111.42,188.85
02-10-2017,72.62,123.09
09-10-2017,1.08,1.84
11-10-2017,1.67,27.29
12-10-2017,4.58,62.81
13-10-2017,0.08,NA
16-10-2017,1,30.44
17-10-2017,3.08,108.32
19-10-2017,57.39,168.87
20-10-2017,30.77,52.16
21-10-2017,113.81,192.91
23-10-2017,12.05,20.43
26-10-2017,6.21,13.57
29-10-2017,180.17,305.38
30-10-2017,66.21,112.22
31-10-2017,175.95,308.33
01-11-2017,168.56,289.02
02-11-2017,121.03,212.04
03-11-2017,190.9,323.57
04-11-2017,96.86,166.84
05-11-2017,139.6,315.48
06-11-2017,186.06,315.38
07-11-2017,464.1,787.07
08-11-2017,623.48,NA
09-11-2017,496.78,842.82
10-11-2017,260.22,446.93
11-11-2017,334.75,557.92
12-11-2017,397.91,663.18
13-11-2017,242.97,404.95
14-11-2017,130.59,217.65
15-11-2017,158.11,266.92
16-11-2017,187.69,312.82
17-11-2017,142.16,236.94
18-11-2017,140.41,234.01
19-11-2017,127.14,211.89
20-11-2017,172.95,288.25
21-11-2017,139.79,234.78
22-11-2017,142.69,237.9
23-11-2017,123.47,208.36
24-11-2017,108.61,181.37
25-11-2017,148.99,248.32
26-11-2017,181.81,303.02
27-11-2017,170.84,284.73
28-11-2017,157.94,263.26
29-11-2017,157.47,262.46
30-11-2017,128.23,254.6
01-12-2017,157.63,263
02-12-2017,161.81,269.68
03-12-2017,179.75,299.77
04-12-2017,228.74,381.24
06-12-2017,100.21,167.02
07-12-2017,89.44,149.06
08-12-2017,105.02,175.04
09-12-2017,109.04,185.96
10-12-2017,67.28,244.64
11-12-2017,128.64,279.27
12-12-2017,82.08,136.9
13-12-2017,61.42,164.9
15-12-2017,57.51,162.2
16-12-2017,88.16,146.94
17-12-2017,74.02,124.28
18-12-2017,86.31,143.85
19-12-2017,117.51,200.17
20-12-2017,215.31,358.85
21-12-2017,221.7,369.51
22-12-2017,106.4,177.52
23-12-2017,63.64,144.01
24-12-2017,121.81,203.02
25-12-2017,204.65,341.09
26-12-2017,165.31,275.52
27-12-2017,151.5,252.56
28-12-2017,147.79,275.11
29-12-2017,158.9,282.93
30-12-2017,204.97,341.61
31-12-2017,228.86,381.44
01-01-2018,264.23,440.58
02-01-2018,213.34,355.67
03-01-2018,163.06,271.84
04-01-2018,159.68,266.14
05-01-2018,176.3,293.84
06-01-2018,182.93,304.89
07-01-2018,144.45,240.75
08-01-2018,140.48,234.14
09-01-2018,179.06,298.51
10-01-2018,139.66,232.76
11-01-2018,109.41,183.35
12-01-2018,134.5,224.17
13-01-2018,177.84,296.4
14-01-2018,137.66,229.43
15-01-2018,141.07,235.16
16-01-2018,111.61,186.92
17-01-2018,202.35,337.25
18-01-2018,185.18,311.17
19-01-2018,226.74,378.45
20-01-2018,139.19,231.99
21-01-2018,135.11,225.18
22-01-2018,156.08,260.14
23-01-2018,130.8,218
24-01-2018,109.71,182.84
25-01-2018,82.75,140.3
26-01-2018,90.63,151.16
27-01-2018,125.39,209.86
28-01-2018,137.58,229.3
29-01-2018,152.78,246.85
30-01-2018,120.39,200.66
31-01-2018,114.71,191.19
01-02-2018,111.3,185.56
02-02-2018,127.54,212.56
03-02-2018,111.13,185.21
04-02-2018,135.32,218.67
05-02-2018,129.43,215.78
06-02-2018,125.34,208.9
07-02-2018,102.78,171.3
08-02-2018,136.35,227.25
09-02-2018,153.4,255.67
10-02-2018,154.75,257.92
11-02-2018,120.31,200.54
12-02-2018,57.36,95.6
13-02-2018,70.99,118.33
14-02-2018,60.09,100.16
15-02-2018,81.05,135.13
16-02-2018,68.67,114.47
17-02-2018,88.23,147.05
18-02-2018,92.45,154.09
19-02-2018,137.42,229.11
20-02-2018,151.53,252.56
21-02-2018,144.24,240.43
22-02-2018,135.81,226.36
23-02-2018,131.76,219.78
24-02-2018,147.8,246.33
25-02-2018,108.61,181.02
26-02-2018,51.58,85.97
27-02-2018,58.85,98.08
28-02-2018,130.05,216.75
01-03-2018,101.4,169
02-03-2018,83.4,139.1
03-03-2018,80.82,134.72
04-03-2018,69.3,115.51
05-03-2018,63.38,105.64
06-03-2018,54.69,91.14
07-03-2018,63.68,106.13
08-03-2018,89.58,149.31
09-03-2018,102.03,170.05
10-03-2018,62.16,103.6
11-03-2018,63.67,106.12
12-03-2018,61.91,139.02
13-03-2018,8,163.6
14-03-2018,8,164.75
15-03-2018,8,164.97
16-03-2018,30.5,168.21
17-03-2018,66.4,110.67
18-03-2018,68.21,113.7
19-03-2018,64.86,108.12
20-03-2018,89.43,149.05
21-03-2018,108.94,181.57
22-03-2018,57.11,115.17
23-03-2018,8,94.46
24-03-2018,8,130.01
25-03-2018,8,121.01
26-03-2018,8,120.84
27-03-2018,54.4,163.68
28-03-2018,121.67,157.98
29-03-2018,49.99,154.47
30-03-2018,45.86,207.36
31-03-2018,62.56,247.21
01-04-2018,NA,134.07
02-04-2018,139.1,184.9
03-04-2018,109.65,212.53
04-04-2018,286.31,207.15
05-04-2018,54.44,277.43
06-04-2018,46.88,218.12
07-04-2018,49.11,115.47
08-04-2018,30.42,93.32
09-04-2018,317.06,149.07
10-04-2018,273.74,218.54
11-04-2018,12.14,97.25
12-04-2018,20.62,76.07
13-04-2018,NA,111.28
14-04-2018,28.74,133.5
15-04-2018,55.47,199.61
16-04-2018,61.71,282.94
17-04-2018,33.07,212.36
18-04-2018,56.56,191.17
19-04-2018,39.53,219.14
20-04-2018,59.56,357.32
21-04-2018,88.47,317.59
22-04-2018,NA,155.11
23-04-2018,249.92,159.57
24-04-2018,51.47,190.99
25-04-2018,NA,237.64
26-04-2018,298.08,326.64
27-04-2018,NA,288.38
28-04-2018,35.14,277.19
29-04-2018,38.57,216.67
30-04-2018,97.61,166.66
01-05-2018,62.3,131.89
02-05-2018,140.51,136.3
03-05-2018,122.84,118.98
04-05-2018,96.48,125.19
05-05-2018,25.8,176.31
06-05-2018,140.07,238
07-05-2018,66.82,302.15
08-05-2018,113.2,123.91
09-05-2018,65.66,148.62
10-05-2018,24.55,186.44
11-05-2018,62.15,308.7
12-05-2018,62.66,373.74
13-05-2018,46.93,163.32
14-05-2018,73.22,94.4
15-05-2018,72.98,144.58
16-05-2018,97.24,211.99
17-05-2018,67.68,188.55
18-05-2018,170.53,163.77
19-05-2018,47.09,166.64
20-05-2018,33.03,129.88
21-05-2018,52.39,131.8
22-05-2018,80.6,187.3
23-05-2018,92.85,195.58
24-05-2018,80.38,166.25
25-05-2018,91.81,133.3
26-05-2018,228.19,143.43
27-05-2018,106.74,317.55
28-05-2018,112.43,214.36
29-05-2018,104.58,261.85
30-05-2018,91.46,309.25
31-05-2018,89.56,195.21
01-06-2018,88.35,188.32
02-06-2018,51.44,172.55
03-06-2018,55.71,160.49
04-06-2018,67.84,153.31
05-06-2018,54.38,121.26
06-06-2018,59,114.85
08-06-2018,52.31,141.42
09-06-2018,57.42,102.37
10-06-2018,57.43,102.98
11-06-2018,73.92,143.54
12-06-2018,192.84,479.04
13-06-2018,392.56,701.99
14-06-2018,268.87,604.04
15-06-2018,174.75,429.36
16-06-2018,153.21,359.45
17-06-2018,116.94,244.32
18-06-2018,67.44,130.39
19-06-2018,67.96,122.95
20-06-2018,73.57,150.13
21-06-2018,88.37,198.78
22-06-2018,124.18,217.6
23-06-2018,104.8,174.41
24-06-2018,84.72,154.49
25-06-2018,115.85,224.61
26-06-2018,54.2,106.04
27-06-2018,50.44,84.92
29-06-2018,61.18,68.36
30-06-2018,67.1,73.99
01-07-2018,33.94,50.15
02-07-2018,47.26,68.19
03-07-2018,53.96,76.55
04-07-2018,55.35,79.99
05-07-2018,54.37,91.39
06-07-2018,85.03,137.41
07-07-2018,56.1,117.86
08-07-2018,73.82,140.73
09-07-2018,69.37,129.83
10-07-2018,43.54,78.12
11-07-2018,39.52,77.66
12-07-2018,50.38,84.34
13-07-2018,26.66,40.64
14-07-2018,33.87,47.12
15-07-2018,30.8,52.52
16-07-2018,33.48,55.41
17-07-2018,30.56,56.82
18-07-2018,36.53,62.27
19-07-2018,38.05,59.71
20-07-2018,33.4,55.08
21-07-2018,35.35,63.11
22-07-2018,19.76,32.92
23-07-2018,30.06,50.39
24-07-2018,25.88,50.83
25-07-2018,25.23,50.53
26-07-2018,30.46,49.22
27-07-2018,15.47,26.03
28-07-2018,24.67,44.23
29-07-2018,85.01,109.25
30-07-2018,40.87,98.43
31-07-2018,53.17,120.43
01-08-2018,78.7,177.57
02-08-2018,99.5,229.19
03-08-2018,86.58,204.89
04-08-2018,93.38,220.58
05-08-2018,85.1,205.02
06-08-2018,62.12,123.66
07-08-2018,48.39,87.38
08-08-2018,32.16,58.04
09-08-2018,83.61,90
10-08-2018,37.62,81.19
11-08-2018,41.53,74.12
12-08-2018,27.07,62.12
13-08-2018,31.44,67.02
14-08-2018,48.99,95.86
15-08-2018,41.6,84.78
16-08-2018,30.9,61.58
17-08-2018,32.12,65.64
18-08-2018,30.58,53.8
19-08-2018,36.09,64.71
20-08-2018,55.67,94.12
21-08-2018,25.26,49.59
22-08-2018,29.53,53.45
23-08-2018,22.66,43.42
24-08-2018,23.38,52.22
25-08-2018,22.4,49.34
26-08-2018,27.13,56.96
27-08-2018,26.21,45.62
28-08-2018,40.35,45.21
29-08-2018,19.68,31.13
30-08-2018,40.58,78.14
31-08-2018,53.46,113.1
01-09-2018,42.98,76.59
02-09-2018,30.71,53.29
03-09-2018,34.67,58.51
04-09-2018,38.61,65.01
05-09-2018,54.44,83.45
